Name,City Area,Price For Two,Ratings,Tags,Link
Petisco Saloio,Campo Pequeno,25.0,4.5,"Portuguesa, Petiscos",https://www.zomato.com/pt/grande-lisboa/petisco-saloio-campo-pequeno-lisboa/info
1001 Nights Restaurante Iraniano,Campo Pequeno,20.0,4.3,"Iraniana, Médio Oriente, Kebab",https://www.zomato.com/pt/grande-lisboa/1001-nights-restaurante-iraniano-campo-pequeno-lisboa/info
Sauvage,Campo Pequeno,40.0,4.3,"Autor, Contemporânea",https://www.zomato.com/pt/grande-lisboa/sauvage-campo-pequeno-lisboa/info
Rubro,Campo Pequeno,40.0,4.2,"Tapas, Espanhola, Petiscos, Portuguesa",https://www.zomato.com/pt/grande-lisboa/rubro-campo-pequeno-lisboa/info
Samurai,Campo Pequeno,35.0,4.1,"Sushi, Japonesa",https://www.zomato.com/pt/grande-lisboa/samurai-campo-pequeno-lisboa/info
Hífen,Cascais Centro,40.0,4.7,"Contemporânea, Petiscos, Bebidas",https://www.zomato.com/pt/grande-lisboa/hífen-1-cascais-centro-lisboa/info
House of Wonders,Cascais Centro,25.0,4.3,"Vegetariana, Comida saudável, Pastelaria, Sobremesa",https://www.zomato.com/pt/grande-lisboa/house-of-wonders-cascais-centro-lisboa/info
Páteo do Petisco,Cascais Centro,35.0,4.4,"Petiscos, Portuguesa",https://www.zomato.com/pt/grande-lisboa/páteo-do-petisco-cascais-centro-lisboa/info
Local Cascais - Your Healthy Kitchen,Cascais Centro,25.0,4.4,"Comida saudável, Vegetariana, Mediterrânica",https://www.zomato.com/pt/grande-lisboa/local-cascais-your-healthy-kitchen-cascais-centro-lisboa/info
Baía do Peixe,Cascais Centro,60.0,4.4,"Peixe fresco, Grelhados",https://www.zomato.com/pt/grande-lisboa/baía-do-peixe-cascais-centro-lisboa/info
Terrazza - Steakhouse & Rooftop Bar,Cascais Centro,40.0,4.3,"Bifes, Bebidas",https://www.zomato.com/pt/grande-lisboa/terrazza-steakhouse-rooftop-bar-cascais-centro-lisboa/info
Moules & Gin,Cascais Centro,65.0,4.4,"Marisqueira, Bebidas",https://www.zomato.com/pt/grande-lisboa/moules-gin-cascais-centro-lisboa/info
Mar do Inferno,Cascais Centro,75.0,4.6,"Marisqueira, Peixe fresco",https://www.zomato.com/pt/grande-lisboa/mar-do-inferno-cascais-centro-lisboa/info
Capricciosa,Cascais Centro,30.0,4.2,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/capricciosa-cascais-centro-lisboa/info
Amélia Lisboa,Campo de Ourique,20.0,4.4,"Sobremesa, Sumos, Comida saudável, Snacks",https://www.zomato.com/pt/grande-lisboa/amélia-lisboa-campo-de-ourique-lisboa/info
Memoria,Campo de Ourique,35.0,4.5,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/memoria-campo-de-ourique-lisboa/info
Hikidashi - Taberna Japonesa,Campo de Ourique,80.0,4.7,"Sushi, Japonesa",https://www.zomato.com/pt/grande-lisboa/hikidashi-taberna-japonesa-campo-de-ourique-lisboa/info
Pigmeu,Campo de Ourique,40.0,4.4,"Portuguesa, Petiscos",https://www.zomato.com/pt/grande-lisboa/pigmeu-campo-de-ourique-lisboa/info
Padaria do Povo,Campo de Ourique,25.0,4.0,"Petiscos, Goesa, Portuguesa, Angolana",https://www.zomato.com/pt/grande-lisboa/padaria-do-povo-campo-de-ourique-lisboa/info
Natraj,Campo de Ourique,30.0,4.4,Indiana,https://www.zomato.com/pt/grande-lisboa/natraj-campo-de-ourique-lisboa/info
O Magano,Campo de Ourique,50.0,4.6,"Alentejana, Portuguesa",https://www.zomato.com/pt/grande-lisboa/o-magano-campo-de-ourique-lisboa/info
Ilha da Madeira,Campo de Ourique,30.0,4.3,"Madeirense, Portuguesa",https://www.zomato.com/pt/oilhadamadeira/info
La Focacceria Pugliese,Campo de Ourique,30.0,4.3,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/la-focacceria-pugliese-campo-de-ourique-lisboa/info
