Name,City Area,Price For Two,Ratings,Tags,Link
Hamburgueria da Parada,Campo de Ourique,16.0,4.2,Burger,https://www.zomato.com/grande-lisboa/hamburgueria-da-parada-campo-de-ourique-lisboa/info
Dacquoise,Campo de Ourique,14.0,4.1,"French, Healthy Food, Bakery, Cafe, Desserts",https://www.zomato.com/grande-lisboa/dacquoise-campo-de-ourique-lisboa/info
Grande Palácio Hong Kong,Arroios,35.0,4.3,Chinese,https://www.zomato.com/grande-lisboa/grande-palácio-hong-kong-arroios-lisboa/info
Beni's Gelato & Friends,Arroios,8.0,4.0,"Ice Cream, Desserts, Crepes",https://www.zomato.com/grande-lisboa/benis-gelato-friends-arroios-lisboa/info
Café Império,Arroios,30.0,4.1,"Portuguese, Steak, Italian",https://www.zomato.com/grande-lisboa/café-império-arroios-lisboa/info
Cervetoria,Arroios,25.0,4.1,"Burger, American, Finger Food, Petiscos, Tapas, Beverages",https://www.zomato.com/grande-lisboa/cervetoria-arroios-lisboa/info
Luminosa by Furnas,Arroios,45.0,4.0,"Seafood, Fresh Fish, Portuguese",https://www.zomato.com/grande-lisboa/luminosa-by-furnas-arroios-lisboa/info
Espiral Restaurante,Arroios,20.0,3.9,"Vegetarian, Healthy Food, International",https://www.zomato.com/EspiralRestaurante/info
Delícia de Arroios,Arroios,30.0,4.3,Portuguese,https://www.zomato.com/Delicia-de-Arroios/info
Fox Coffee - O Rei da Cachupa,Arroios,25.0,3.9,"Portuguese, Cape Verdean",https://www.zomato.com/grande-lisboa/fox-coffee-o-rei-da-cachupa-arroios-lisboa/info
Docel,Arroios,8.0,3.7,"Cafe, Desserts, Portuguese, Italian, Burger, Ice Cream",https://www.zomato.com/grande-lisboa/docel-arroios-lisboa/info
Leitaria Lisboa,Rato,8.0,4.2,"Cafe, Healthy Food, Desserts",https://www.zomato.com/grande-lisboa/leitaria-lisboa-rato-lisboa/info
Cervejaria Sem Vergonha,Rato,45.0,4.4,"Fresh Fish, Seafood, Portuguese",https://www.zomato.com/grande-lisboa/cervejaria-sem-vergonha-rato-lisboa/info
Estórias na Casa da Comida,Rato,50.0,4.4,Portuguese,https://www.zomato.com/grande-lisboa/estórias-na-casa-da-comida-rato-lisboa/info
Lebanese Corner,Rato,20.0,4.2,"Lebanese, Mediterranean",https://www.zomato.com/grande-lisboa/lebanese-corner-rato-lisboa/info
Ganesha Palace,Rato,25.0,4.1,"Indian, Italian",https://www.zomato.com/grande-lisboa/ganesha-palace-rato-lisboa/info
Quiosque das Amoreiras,Rato,10.0,3.9,"Finger Food, Cafe",https://www.zomato.com/grande-lisboa/quiosque-das-amoreiras-rato-lisboa/info
Pérola do Rato,Rato,20.0,3.8,"Portuguese, Finger Food",https://www.zomato.com/grande-lisboa/pérola-do-rato-rato-lisboa/info
McDonald's,Rato,15.0,2.5,"Fast Food, Burger",https://www.zomato.com/grande-lisboa/mcdonalds-rato-lisboa/info
Scale - Epic SANA Lisboa Hotel,Rato,20.0,3.7,"Portuguese, Finger Food",https://www.zomato.com/grande-lisboa/scale-epic-sana-lisboa-hotel-rato-lisboa/info
TOPO,Mouraria,45.0,4.3,"Author, Petiscos, Beverages",https://www.zomato.com/grande-lisboa/topo-mouraria-lisboa/info
Ramiro,Mouraria,60.0,4.9,Seafood,https://www.zomato.com/grande-lisboa/ramiro-mouraria-lisboa/info
O Cantinho do Aziz,Mouraria,25.0,4.1,"Mozambican, African",https://www.zomato.com/grande-lisboa/o-cantinho-do-aziz-mouraria-lisboa/info
Ghoroa Restaurante Indiano,Mouraria,25.0,4.5,Indian,https://www.zomato.com/grande-lisboa/ghoroa-restaurante-indiano-mouraria-lisboa/info
Manjerica,Mouraria,20.0,4.2,Healthy Food,https://www.zomato.com/grande-lisboa/manjerica-mouraria-lisboa/info
O das Joanas,Mouraria,20.0,3.3,"Finger Food, Cafe, Tapas",https://www.zomato.com/grande-lisboa/o-das-joanas-mouraria-lisboa/info
Josephine Bistrô & Bar,Mouraria,20.0,4.0,"Portuguese, French, Petiscos, Desserts",https://www.zomato.com/grande-lisboa/josephine-bistrô-bar-mouraria-lisboa/info
Mi Dai,Mouraria,20.0,3.9,Chinese,https://www.zomato.com/grande-lisboa/mi-dai-mouraria-lisboa/info
BAO BAR,Mouraria,30.0,3.8,Oriental,https://www.zomato.com/grande-lisboa/bao-bar-mouraria-lisboa/info
Este Oeste,Belém,50.0,4.1,"Sushi, Pizza, Italian, Japanese",https://www.zomato.com/grande-lisboa/este-oeste-belém-lisboa/info
Nosolo Itália Belém,Belém,40.0,4.1,"Italian, Pizza, Ice Cream, Desserts, Crepes",https://www.zomato.com/nosoloitaliabelem/info
Pão Pão Queijo Queijo,Belém,20.0,4.4,"Fast Food, Kebab, Finger Food",https://www.zomato.com/grande-lisboa/pão-pão-queijo-queijo-belém-lisboa/info
À Margem,Belém,30.0,4.1,"Petiscos, Healthy Food, Juices, Tea",https://www.zomato.com/grande-lisboa/à-margem-belém-lisboa/info
Pastéis de Belém,Belém,15.0,4.9,"Cafe, Desserts, Bakery",https://www.zomato.com/grande-lisboa/pastéis-de-belém-belém-lisboa/info
Espaço Espelho d'Água,Belém,45.0,3.9,"Fusion, International, Petiscos",https://www.zomato.com/espacoespelhodeagua/info
Nune's Real Marisqueira,Belém,70.0,4.4,Seafood,https://www.zomato.com/grande-lisboa/nunes-real-marisqueira-belém-lisboa/info
Portugália Cervejaria Belém,Belém,35.0,4.1,"Seafood, Portuguese",https://www.zomato.com/grande-lisboa/portugália-cervejaria-belém-belém-lisboa/info
Café In,Belém,35.0,3.0,"Portuguese, Finger Food",https://www.zomato.com/grande-lisboa/café-in-belém-lisboa/info
Ribs & Company,Odivelas Centro,25.0,4.4,"American, Steak, Burger",https://www.zomato.com/grande-lisboa/ribs-company-odivelas-centro-lisboa/info
Dote,Odivelas Centro,25.0,4.2,"Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/dote-1-odivelas-centro-lisboa/info
A Maria da Taberna,Odivelas Centro,30.0,4.2,"Seafood, Portuguese, Spanish, Tapas",https://www.zomato.com/grande-lisboa/a-maria-da-taberna-odivelas-centro-lisboa/info
Choco & Nut,Odivelas Centro,8.0,4.1,"Desserts, Cafe, Crepes",https://www.zomato.com/grande-lisboa/choco-nut-odivelas-centro-lisboa/info
Queda d'Água,Odivelas Centro,45.0,4.1,"Seafood, Portuguese",https://www.zomato.com/grande-lisboa/queda-dágua-odivelas-centro-lisboa/info
Dolce & Bianco - Odivelas,Odivelas Centro,20.0,3.9,Portuguese,https://www.zomato.com/grande-lisboa/dolce-bianco-odivelas-odivelas-centro-lisboa/info
100 Montaditos,Odivelas Centro,20.0,3.1,"Tapas, Spanish",https://www.zomato.com/grande-lisboa/100-montaditos-odivelas-centro-lisboa/info
